condition1,condition2,trialNo,response_m,response_r,response_l,p_resp_s,p_meanRT_s,p_resp_rf,p_meanRT_rf,c_resp_s,c_meanRT_s,c_resp_rf,c_meanRT_rf,may_resp_s,may_meanRT_s,may_resp_rf,may_meanRT_rf,might_resp_s,might_meanRT_s,might_resp_rf,might_meanRT_rf,o_resp_s,o_meanRT_s,o_resp_rf,o_meanRT_rf,s_resp_s,s_meanRT_s,s_resp_rf,s_meanRT_rf
immoral,scenario3,148,,,,,,,,0.37142857142857144,1135.7714285714285,0.3870967741935484,2589.451612903226,0.17777777777777778,1115.6666666666667,0.2727272727272727,2492.818181818182,0.12195121951219512,1085.9268292682927,0.15384615384615385,2352.769230769231,0.022727272727272728,1033.75,0.0,4026.0,0.0,1067.5121951219512,0.0,2008.4375
ordinary,scenario3,149,,,,,,,,1.0,964.5121951219512,1.0,1724.5,0.9807692307692307,969.75,0.8571428571428571,1972.142857142857,0.9574468085106383,969.5744680851063,1.0,1872.6666666666667,0.9565217391304348,917.2173913043479,0.9166666666666666,2981.6666666666665,0.9302325581395349,909.8139534883721,1.0,1700.0
ordinary,scenario3,150,,,,,,,,0.9473684210526315,1076.1052631578948,0.9285714285714286,2679.1071428571427,0.8913043478260869,1094.391304347826,0.85,2661.35,0.8333333333333334,1109.142857142857,1.0,2278.4117647058824,0.7560975609756098,1143.3170731707316,0.90625,2650.34375,0.8974358974358975,1108.3333333333333,0.9655172413793104,2290.4137931034484
ordinary,scenario3,151,,,,,,,,0.925,1079.25,1.0,2226.8823529411766,0.9615384615384616,1032.5,1.0,2232.7,0.8666666666666667,1007.0666666666667,0.9,1766.2,0.9130434782608695,1050.0869565217392,0.8888888888888888,2226.9444444444443,0.7619047619047619,1081.0238095238096,1.0,2401.0666666666666
ordinary,scenario3,152,,,,,,,,0.8837209302325582,1011.7209302325581,0.6666666666666666,2020.4,0.8076923076923077,975.1153846153846,1.0,2115.3333333333335,0.717391304347826,936.3695652173913,1.0,2013.625,0.8,1001.4222222222222,0.625,2911.0625,0.7560975609756098,992.9756097560976,0.8125,2531.75
impossible,scenario3,153,,,,,,,,0.2,1067.9,0.07142857142857142,2123.5,0.07407407407407407,1000.074074074074,0.0,1737.142857142857,0.10869565217391304,1016.5869565217391,0.0,1823.0,0.0851063829787234,942.4468085106383,0.0,2558.214285714286,0.022727272727272728,1000.9090909090909,0.0,3982.3333333333335
immoral,scenario3,154,,,,,,,,0.3076923076923077,1059.5384615384614,0.3157894736842105,2174.684210526316,0.18,1005.54,0.42857142857142855,1734.857142857143,0.08695652173913043,977.6739130434783,0.14285714285714285,2058.5714285714284,0.02127659574468085,894.9574468085107,0.0,1921.0,0.023809523809523808,916.6666666666666,0.0,2016.2857142857142
immoral,scenario3,155,,,,,,,,0.14634146341463414,1080.3658536585365,0.1875,2601.0625,0.061224489795918366,913.469387755102,0.4,2771.8,0.044444444444444446,930.9111111111112,0.4,1977.2,0.0,883.3125,0.0,4475.307692307692,0.0,935.1190476190476,0.0,1906.875
flouting,scenario3,156,,,,,,,,0.45,970.725,0.3,2241.15,0.1509433962264151,951.0,0.42857142857142855,1976.0,0.06521739130434782,918.7608695652174,0.0,2022.3333333333333,0.0,863.6904761904761,0.0,2112.4,0.04878048780487805,857.9024390243902,0.0,2088.75
impossible,scenario3,157,,,,,,,,0.5128205128205128,1049.948717948718,0.25,2684.0,0.3137254901960784,1069.235294117647,0.5,2461.9166666666665,0.27906976744186046,1035.093023255814,0.0,2283.4,0.2608695652173913,1047.6521739130435,0.15789473684210525,2851.157894736842,0.3170731707317073,1027.0975609756097,0.47058823529411764,3509.705882352941
impossible,scenario3,158,,,,,,,,0.16216216216216217,1064.3783783783783,0.26666666666666666,2959.633333333333,0.09090909090909091,1080.0,0.0,2743.9444444444443,0.09523809523809523,1060.904761904762,0.15384615384615385,2361.846153846154,0.045454545454545456,988.5909090909091,0.045454545454545456,2246.818181818182,0.10256410256410256,995.4615384615385,0.0,1805.9333333333334
flouting,scenario3,159,,,,,,,,0.5263157894736842,1094.6842105263158,0.36,2503.8,0.29411764705882354,1096.7254901960785,0.2,2343.8,0.30952380952380953,1069.3809523809523,0.0,2146.0,0.13043478260869565,1005.1739130434783,0.047619047619047616,3139.714285714286,0.1590909090909091,1014.0,0.0,3044.266666666667
